name,longitude,latitude,price,streetAddress,postcode,house_type
Beautiful 3 Bedroom Brooklyn Apt **New Kitchen ** Must See,-73.907347,40.692549,"$2,200 ",Eldert,11237,Apartment
2 Bedroom Apt in Central Location** New Full Kitchen**Great Deal,-73.911805,40.692785,"$2,000 ",Wilson,11237,Apartment
NO FEE 1 BR W/D IN UNIT KENSINGTON APT,-73.971044,40.633721,"$1,895 ",,11230,Apartment
cNice 2 Bedroom Apt** Great Deal** Perfect Location,-73.860805,40.684741,"$2,150 ",Atlantic,11416,Apartment
NO FEE 1BR APARTMENT NEAR THE Q TRAIN,-73.961334,40.622676,"$1,700 ",,11230,Apartment
A NO FEE 2br spacious Ridgewood Beauty!!,-73.914807,40.705195,"$2,000 ",Himrod st,11237,Apartment
NO FEE 1BR APARTMENT NEAR THE Q TRAIN,-73.960347,40.622891,"$1,775 ",,11230,Apartment
1 Bedroom Apartment with A VIEW!!!,-73.977845,40.712745,"$2,658 ",453 FDR Drive,10158,Apartment
NO FEE 1BR APARTMENT NEAR THE Q TRAIN,-73.956292,40.618246,"$1,650 ",,11230,Apartment
Stunning 1BR/1BA *+ Home Office* In Prime Bushwick!,-73.924619,40.69205,"$1,999 ",10 Goodwin Pl,11221,Apartment
BEAUTIFUL 2BR/1BA In Brand NEW Construction In PLG!!,-73.952973,40.658535,"$2,100 ",289 fenimore St,11225,Apartment
Great 2 Bedroom apt ** Brand New Kitchen**Must See,-73.957,40.6467,"$1,600 ",Beverley Rd,11226,Apartment
CONDO+2BDRM1BATHPRIMELOCATIONNEWTOPFLRBALCONYDECKWOW!!!NICEMOVEINNOW!!,-74.0133,40.6412,"$1,850 ",53rd st,11220,Apartment
CLINTON HILL~NO FEE!~NEWLY RENOVATED~MODERN & SLEEK~LAUNDRY~A/C/S TRAI,-73.954332,40.67989,"$2,650.00 ",9 Bedford Place,11216,Apartment
"Sweet 1 Bed on 5th/Union, Steps to Trains, Will Not Last!",-73.980389,40.676277,"$2,200 ",189 5th Avenue,11217,Apartment
"Stunning 1Bed Oasis, In Unit Laundry, Private Yard, Must See!",-73.928058,40.691806,"$2,250 ",514 Van Buren Street,11221,Apartment
"NO FEE Gorgeous 2 Bed Bushwick Abode, Steps to Train!",-73.918329,40.688528,"$2,150 ",1111 Putnam Avenue,11221,Apartment
Bright studio on 44th St near 7 subway! *NO FEE*,-73.920591,40.743201,"$1,575 ",44th Street,11104,Apartment
"Special Move-in Offer! Ideal Block,  Spacious living room",-73.928259,40.695111,"$2,400 ",Dekalb,11221,Apartment
"Sunny 1 Bed Gem, Only 2 Blocks to R Train, MUST SEE!",-73.985429,40.678344,"$2,000 ",252 3rd Avenue,11217,Apartment
BEAUTIFUL RENOVATED TRUE 4BR APT! DISHWASHER! MICROWAVE! AVAILABLE NOW,-73.933804,40.850063,"$2,400 ",west 182 st,10040,Apartment
HOME OFFICE OR WALK IN CLOSET? YOU CHOOSE!,-73.8961,40.7036,"$1,750 ",,11385,Apartment
"BEAUTIFUL RENOVATED TRUE 4BR APT! DISHWASHER! MICROWAVE! TRAINS 1,A,C!",-73.933804,40.850063,"$2,400 ",west 182 st,10040,Apartment
GUT RENOVATED TWO BED! WITH LAUNDRY ACCESS!,-73.8961,40.7036,"$2,195 ",,11385,Apartment
1 BEDROOM PROSPECT HEIGHT,-73.968731,40.673928,"$1,800 ",St Johns place,11238,Apartment
ENJOY A HOME OFFICE!,-73.8961,40.7036,"$1,795 ",,11385,Apartment
&& Second Chance!! Large Windows Lots Of Sunlight &&,-73.917852,40.706852,"$2,400 ",Hart,11247,Apartment
**Newly Renovated Jr.4/Ab-LL. Pet Ok!! South Slope area!!,-73.979513,40.657479,"$2,400 ",Prospect Avenue,11215,Apartment
NO FEE_AWESOME HOT BARGAIN  1BR_ASTOR PLACE 5 ST & 3 AVE,-73.989612,40.727057,"$1,495 ",221 EAST 5 STREET,10003,Apartment
1BR in 3BR all utilities included! Move in ASAP,-73.98026,40.730657,"$1,450 ",14th street,10009,Apartment
One month free for 2 bedroom,-75.1186,39.9512,"$1,883 ",,8102,Apartment
Whole Floor of Brownstone in Prime Park Slope,-73.974166,40.676049,"$3,500 ",43 7th Avenue,11217,Apartment
Large 2 bedrm/2 baths,-73.898824,40.945497,"$1,750 ",54 Ravine ave,10701,Apartment
Stunning Two Bedroom Apartment in Kew Gardens,-73.8297,40.7069,"$2,150 ",83 Ave,11415,Apartment
Large 1 bed + office a block from DeKalb L in Bushwick. No fee!,-73.918504,40.703858,"$2,100 ",Wyckoff,11237,Apartment
Modern apartment with Brooklyn charm,-73.994605,40.695458,"$2,900 ",,11202,Apartment
Beautiful One Bedroom Apartment in Flushing,-73.8241,40.7667,"$1,750 ",34 Ave,11354,Apartment
Bright and Sunny Two Bedroom apartment in Flushing,-73.8226,40.7536,"$2,100 ",140 st,11355,Apartment
college point apartment for rent,-73.845,40.7855,"$2,300 ",college point blvd,11356,Apartment
No fee!A stunning two bedroom w/ beautiful roof,-73.9498,40.7272,"$3,200 ",17 Monitor St,11222,Apartment
One month free on 12-month lease for 2 bedroom,-73.7652,41.033,"$2,785 ",,10601,Apartment
Steps From Marcy JMZ | 2 Bed + Home Office | Video,-73.960304,40.708653,"$2,500 ",Broadway,11251,Apartment
Large 1 bedroom with home office in Tribeca,-74.004615,40.717144,"$5,100 ",Leonard St,10278,Apartment
Sunny One Bedroom with Parking,-73.911,40.7763,"$1,700 ",,11105,Apartment
"No fee!Large sunny true 2 bedroom,w/ windows & closets",-73.9436,40.7012,"$2,600 ","137 Manhattan Ave,",11206,Apartment
Brand new 22-unit converted rectory building featuring  rooftop,-73.9563,40.7095,"$2,500 ","312 Devoe St,",11211,Apartment
Downtown STUDIO//Special Pricing,-74.617304,42.409971,"$1,375 ",99 Prospect Street,12167,Apartment
No Fee Large Walls up FLEX 2 w/ 1 Month Free Free On Site Laundry Near,-74.0077,40.711002,"$2,600.00 ",17 Ann Street,10277,Apartment
2 Bedroom in Baychester and Pelham Garden,-73.835497,40.869683,"$1,800 ",1907 Arnow Ave,10469,Apartment
A real 2br in the heart of the west village!,-74.00432,40.732616,"$3,950.00 ",,10014,Apartment
"Great for Live/work,young families*Exposed brick walls,Decorative fire",-73.98038,40.67448,"$3,700.00 ",660 Carroll STREET,11217,Apartment
Amazing Large 2 Bedroom in Prime Bushwick!,-73.921831,40.692223,"$2,150 ",57 Grove Street,11221,Apartment
Charming Cannondale antique- Dogs wanted,-73.42559,41.226667,"$1,750 ",503 Danbury road,6897,Apartment
Modern Large 1 Bd Apt in Luxury Building. 10 min to midtown Manhattan.,-73.9345,40.7446,"$3,200 ",30-02 39th,11101,Apartment
NO-FEE BRAND NEW 3 Bed/2 Bath Near Train,-73.8961,40.7036,"$2,700 ",,11385,Apartment
NO  FEE🏡BEAUTIFUL APART. 3 BED- 2 BATH🏡PET OK🏡LAUNDRY🏡VIDEO IN,-73.918,40.7006,"$2,450 ",,11237,Apartment
*CLINTON HILL * 4BR 2BA DPLX BALCONY * G A C TRAINS*LAUNDRY* NO FEE,-73.957365,40.688595,"$3,499 ",Franklin ave,11205,Apartment
Yes it's a fireplace! 2BR apt on a picture perfect tree-lined block!,-73.95109,40.804428,"$2,400 ",118th Street,10026,Apartment
*CLINTON HILL/BED STUY* 1BR MASSIVE WITH W.D & PRIVATE DECK*AC TRAINS*,-73.955272,40.683385,"$2,495 ",Putnam ave,11216,Apartment
"SUNNY, Quiet 2 BR with eat in kitchen. Walk to Mount Sinai. No fee",-73.948267,40.788974,"$2,100 ",101st Street,10029,Apartment
Sun filled 2 BR - on campus at Columbia! Intl students welcome. no fee,-73.959789,40.814167,"$2,000 ",Broadway,10115,Apartment
Yes it's a fireplace! Extraordinary 2 bedroom. Caesarstone. Stainless!,-73.95109,40.804428,"$2,400 ",118th Street,10026,Apartment
Brand New 1 Bedroom Apartment with Washer/Dryer in Unit,-73.955493,40.691325,"$2,299 ",957 Bedford Avenue,11205,Apartment
NO FEE!! *BEST DEAL🏡BEAUTIFUL APART. 3 BED🏡CALL TODAY🏡MUST SEE,-73.8961,40.7036,"$2,300 ",,11385,Apartment
"Sunny, Classic 1.5BR-Whole Floor! Great 4 Couple! Park Slope Prospect",-73.973959,40.680892,"$2,750 ",6Ave @ Bergen St,11217,Apartment
FILLED WITH NATURAL LIGHT * TOP FLOOR,-73.956227,40.713704,"$1,900 ",Havrmeyer,11211,Apartment
2  Bedrooms for rent in 3 bedroom Apt.,-73.917071,40.695782,"$1,000 ",Linden street,11237,Apartment
NO FEE!! BEST DEAL🏡NICE APART. 4 BED🏡CALL TODAY🏡HEAT & HOT WATER INCLU,-73.9274,40.6907,"$2,499 ",,11221,Apartment
"Charming STUDIO, SOUTH PARK SLOPE/GREENWOOD - Available Now",-73.99897,40.659574,"$1,400 ",4Ave @ 26 St,11232,Apartment
1 BR in Clinton Hill / Fort Greene - no fee,-73.9666,40.6924,"$2,555 ",,11205,Apartment
BSMT Room for rent Private bath,-73.8739,40.7613,"$1,000 ",,11369,Apartment
3 BEDROOM 2 BATH! MASSIVE DECK! 12 MONTH SUBLET. AMENITIES GALORE!!!,-73.933783,40.700636,"$3,958 ",54 Noll street,11206,Apartment
"Spacious 3Br Apartment,, Utilities Included,,Parking Spot Included !",-73.7326,40.7591,"$2,500 ",,11362,Apartment
CROWN HEIGHTS~NO FEE!~NEWLY RENOVATED~DUPLEX~PRIVATE BACKYARD~LAUNDRY~,-73.929603,40.668715,"$3,100.00 ",1172 Eastern Parkway,11213,Apartment
Welcome to the Townhouse on W 79th - Private Outdoor Space (no fee),-73.9764,40.7864,"$5,999 ",,10024,Apartment
AMAZING NO-FEE STUDIO-LOFT ON UES!,-73.962929,40.766559,"$1,950 ",East 67th St,10065,Apartment
Room Sublet,-73.943031,40.834096,$900 ,550 W 158th street,10032,Apartment
"Renovated 1 BR with Private Entry, Garden - No Fee",-73.986328,40.665814,"$2,500 ",320 13TH STREET,11215,Apartment
NO FEE_AWESOME HOT BARGAIN  1BR_ASTOR PLACE 5 ST & 3 AVE,-73.989612,40.727057,"$1,575 ",221 EAST 5 STREET,10003,Apartment
2 Bedroom,-73.99498,40.61721,"$1,750 ",,11204,Apartment
"Beautiful Studio Apt, All Utility incl., in Pelham Parkway/Morris Park",-73.85025,40.859812,"$1,400 ",astor ave,10469,Apartment
24/7 DOORMAN_____LARGE WINDOWS__12 FT CEILINGS___,-74.010385,40.707781,"$2,500 ",,10271,Apartment
Sunny 2nd floor 3 bedroom in 2 family house,-73.89485,40.69859,"$2,250 ",60th Lane,11385,Apartment
Greenpoint 3 Bedroom 2 Bath Corner Unit double height ceilings,-73.954661,40.732868,"$3,200 ",1008 Manhattan Avenue,11222,Apartment
Large Sunny 1-Bedroom - Exposed brick - Lexington Avenue. No fee,-73.943948,40.795436,"$1,800 ",Lexington Ave,10029,Apartment
Huge Room in Astoria $ 950 10/15/20 Availability,-73.852792,40.685119,$950 ,,11416,Apartment
New Beautiful 3BR 2BA Apt -Large Size-Best Deal-Laundry-Roof Top-,-73.939898,40.67727,"$2,535 ",Pacific St,11213,Apartment
3 bedroom apartment NO FEE BY OWNER + ONE MONTH FREE,-73.9139,40.7663,"$2,900 ",,11103,Apartment
NICE SKYLIGHT APARTMENT IN LOWER EAST SIDE,-73.98969,40.717959,"$2,600 ",247 Broome Street,10002,Apartment
Bay Ridge Jr.4 1 bedroom+office on 1FL,-74.030867,40.629814,"$1,750 ",219 78th Street,11209,Apartment
Guarantee Best Price Manhattan STUDIO APT You Will Not Find Cheaper,-73.951853,40.82451,"$1,375 ",West 142 Street,10031,Apartment
4 BR & 1.5 BATH in HARLEM,-73.9507,40.8246,"$3,529 ",3620 Broadway,10031,Apartment
NO FEE Two Bedroom Apt. With Terrace and Panoramic view of Varrazano,-74.0303,40.6251,"$1,950 ",93rd street,11209,Apartment
NO FEE - Two Bedroom with Balcony,-73.9563,40.7095,"$2,800 ",,11211,Apartment
Brand new! Columbia University! W/D! Furnished,-73.954586,40.820769,"$2,450 ",136th street,10031,Apartment
Large 3BR in Prospect Heights By Brooklyn Museum & Grand Army Plaza,-73.964403,40.67683,"$2,950 ",Prospect Pl,11238,Apartment
BEAUTIFUL 3 BEDROOM 2 FULL BATH DUPLEX YARD AND LAUNDRY IN BUILDING,-73.9149,40.7627,"$3,700 ",,11103,Apartment
No Fee 2BR 2BA ~ Recently Renovated ~ Convenient Location!,-73.941507,40.703871,"$2,099 ",Moore St,11206,Apartment
"NO FEE!! HUGE LOFT APARTMENT WITH FIREPLACE, PT DM PREWAR BLDG",-73.998505,40.735046,"$4,500.00 ",,10113,Apartment
Newly Renovated 4 Bedrooms Apt. Cross the street From Doughboy Park,-73.9069,40.745,"$2,600 ",52st street,11377,Apartment
Studio for rent,-73.8961,40.7036,"$1,500 ",67TH PLS,11385,Apartment
* CROWN HEIGHTS * 3BR 2BA 1100 SQFT * LAUNDRY /ROOF/STORAGE* C TRAIN,-73.941463,40.6772,"$2,537 ",Pacific st,11213,Apartment
Stunning Brand New 3 bedroom 2 bathroom in a Bushwick townhouse,-73.915619,40.690025,"$2,300 ",97 Cornelia,11221,Apartment
***3 Bedroom Close to Ft. Tryon***,-73.9221,40.8662,"$2,500 ",,10034,Apartment
➽APARTMENTS AVAILABLE BY NORWALK HOSPITAL!,-73.4358,41.1222,"$1,995 ",32 Prospect Street,6850,Apartment
