the_geom,NAME,TEL,URL,ADDRESS1,ADDRES2,CITY,ZIP
POINT (-73.99061840882582 40.75985115447559),45th Street Theater,(212) 352-3101,http://www.theatermania.com/new-york/theaters/45th-street-theatre_2278/,354 West 45th Street,,New York,10036
POINT (-73.9881059525377 40.76047123447081),47th Street Theater,(800) 775-1617,http://www.bestofoffbroadway.com/theaters/47streettheatre.html,304 West 47th Street,,New York,10036
POINT (-73.97038450260143 40.76339942774153),5.90E+60,(212) 753-5959,http://www.59e59.org/,59 East 59th Street,,New York,10022
POINT (-73.99332384622063 40.7585366821068),Acorn Theater,(212) 279-4200,http://www.theatrerow.org/theacorn.htm,410 West 42nd Street,,New York,10036
POINT (-73.9892143340222 40.75926091219353),Al Hirschfeld Theater,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/alhirschfeldtheater/theater.php,302 W 45th Street,,New York,10036
POINT (-73.98500141035261 40.761258614543465),Ambassador Theatre,(800) 432-7565,http://www.shubertorganization.com/theatres/ambassador.asp,219 West 49th Street,,New York,10019
POINT (-73.98804923812347 40.756778744642034),American Airlines Theatre,(212) 719-9393,http://www.newyorkcitytheatre.com/theaters/americanairlinestheater/theater.php,227 W 42nd Street,,New York,10036
POINT (-73.95003984288864 40.81003732389831),Apollo Theater,(212) 531-5300,http://www.apollotheater.org/,253 West 125th Street,,New York,10027
POINT (-73.98121028824352 40.77711991105619),Arclight Theatre,(212) 595-0355,http://www.nytheatre.com/nytheatre/arclight.htm,152 W 71st St,,New York,10023
POINT (-73.99234386140574 40.7293774091894),Astor Place Theatre,(212) 254-4370,http://www.newyorkcitytheatre.com/theaters/astorplacetheater/theater.php,434 Lafayette St,Frnt,New York,10003
POINT (-74.00155441083812 40.74388769285208),Atlantic Theatre,(212) 645-1242,http://www.atlantictheater.org/,336 W 20th St,,New York,10011
POINT (-73.98419954033942 40.76337195930883),August Wilson Theatre,(212) 239-6200,http://www.newyorkcitytheatre.com/theaters/augustwilsontheater/theater.php,245 W 52nd Street,,New York,10019
