ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_4WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,PERCENT_POSITIVE_4WEEK,CASE_COUNT_CHANGE_4WEEK
10001,Chelsea/NoMad/West Chelsea,35,148.54,1,4.24,2797,1.25,"[6, 3, 10, 16]"
10002,Chinatown/Lower East Side,49,63.84,0,0.0,6456,0.76,"[12, 16, 16, 5]"
10003,East Village/Gramercy/Greenwich Village,56,104.09,0,0.0,6334,0.88,"[21, 8, 12, 15]"
10004,Financial District,6,164.36,0,0.0,371,1.62,"[3, 2, 0, 1]"
10005,Financial District,12,142.92,0,0.0,869,1.38,"[2, 2, 7, 1]"
10006,Financial District,4,115.68,0,0.0,324,1.23,"[1, 2, 0, 1]"
10007,TriBeCa,5,60.61,0,0.0,857,0.58,"[1, 2, 2, 0]"
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,48,81.7,0,0.0,6311,0.76,"[8, 8, 11, 21]"
10010,Flatiron/Gramercy/Kips Bay,22,67.96,0,0.0,3945,0.56,"[8, 6, 1, 7]"
10011,Chelsea,27,54.54,0,0.0,5773,0.47,"[9, 7, 5, 6]"
10012,Greenwich Village/SoHo,25,104.25,0,0.0,2643,0.95,"[11, 3, 5, 6]"
10013,Hudson Square/Little Italy/SoHo/TriBeCa,24,82.67,1,3.44,3420,0.7,"[7, 6, 4, 7]"
10014,Hudson Square/Meatpacking District/West Village,30,96.64,0,0.0,3873,0.77,"[9, 6, 9, 6]"
10016,Kips Bay/Murray Hill/NoMad,52,99.0,0,0.0,5856,0.89,"[19, 11, 15, 7]"
10017,East Midtown/Murray Hill,12,74.41,0,0.0,1596,0.75,"[6, 4, 0, 2]"
10018,Hell's Kitchen/Midtown Manhattan,22,230.82,0,0.0,955,2.3,"[7, 4, 8, 3]"
10019,Hell's Kitchen/Midtown Manhattan,38,93.52,0,0.0,4731,0.8,"[10, 6, 9, 13]"
10021,Lenox Hill/Upper East Side,49,110.92,0,0.0,5148,0.95,"[9, 10, 19, 11]"
10022,East Midtown,24,79.12,0,0.0,3237,0.74,"[7, 1, 8, 8]"
10023,Lincoln Square,41,68.02,0,0.0,5934,0.69,"[12, 15, 8, 6]"
10024,Upper West Side,49,85.46,0,0.0,7055,0.69,"[11, 21, 11, 6]"
10025,Manhattan Valley/Morningside Heights/Upper West Side,79,85.56,2,2.17,12672,0.62,"[30, 18, 6, 25]"
10026,Central Harlem (South),32,82.01,1,2.56,3300,0.97,"[10, 9, 4, 9]"
10027,Central Harlem (South)/Morningside Heights/West Harlem,46,72.29,1,1.57,6604,0.7,"[10, 10, 13, 13]"
10028,Upper East Side/Yorkville,38,77.31,0,0.0,4648,0.82,"[17, 7, 5, 9]"
10029,East Harlem,57,72.3,0,0.0,6180,0.92,"[17, 12, 14, 14]"
10030,Central Harlem (North),21,71.62,1,3.41,2275,0.92,"[11, 3, 2, 5]"
10031,Hamilton Heights/West Harlem,52,85.87,2,3.3,4271,1.22,"[15, 10, 14, 13]"
10032,Washington Heights (South),60,97.57,1,1.63,4557,1.32,"[31, 9, 9, 11]"
10033,Washington Heights (North)/Washington Heights (South),58,97.96,0,0.0,4252,1.36,"[19, 14, 21, 4]"
10034,Inwood/Washington Heights (North),23,53.4,0,0.0,2820,0.82,"[2, 9, 8, 4]"
10035,East Harlem,21,61.0,0,0.0,3126,0.67,"[13, 1, 1, 6]"
