PCT_ID,PCT_CRIME_RATE,PCT_BORO_NAME,PCT_ADDR,ZCTA
1,1.3%,MANHATTAN,16 Ericsson Place,10012
5,0.7%,MANHATTAN,19 Elizabeth Street,10012
6,1.2%,MANHATTAN,233 West 10 Street,10014
7,0.9%,MANHATTAN,19 1/2 Pitt Street,10002
9,0.7%,MANHATTAN,321 East 5 Street,10003
10,0.8%,MANHATTAN,230 West 20th Street,10011
13,1.4%,MANHATTAN,230 East 21st Street,10001
14,2.2%,MANHATTAN,None,11691
17,0.6%,MANHATTAN,167 East 51st Street,10016
18,1.9%,MANHATTAN,None,10019
19,0.7%,MANHATTAN,153 East 67th Street,10128
20,1.3%,MANHATTAN,120 West 82nd Street,10023
22,0.1%,MANHATTAN,None,10023
23,1.1%,MANHATTAN,164 East 102nd Street,10029
24,1.0%,MANHATTAN,151 West 100th Street,10025
25,0.9%,MANHATTAN,120 East 119th Street,10035
26,0.3%,MANHATTAN,520 West 126th Street,10027
28,0.9%,MANHATTAN,2271-89 8th Avenue,10027
30,1.1%,MANHATTAN,451 West 151st Street,10031
32,1.2%,None,250 West 135th Street,10030
33,1.6%,MANHATTAN,2207 Amsterdam Avenue,10039
34,1.4%,MANHATTAN,4295 Broadway,10040
40,1.6%,BRONX,257 Alexander Avenue,10451
41,1.8%,BRONX,1035 Longwood Avenue,10459
42,2.3%,BRONX,830 Washington Avenue,10456
43,2.0%,BRONX,900 Fteley Avenue,11691
44,2.7%,BRONX,2 East 169th Street,10452
45,1.5%,BRONX,2877 Barkley Avenue,10462
46,1.7%,BRONX,2120 Ryer Avenue,10453
47,1.6%,BRONX,4111 Laconia Avenue,10466
48,1.1%,BRONX,450 Cross Bronx Expressway,10460
49,2.0%,BRONX,2121 Eastchester Road,10467
50,0.8%,BRONX,3450 Kingsbridge Avenue,10463
52,2.0%,BRONX,3016 Webster Avenue,10467
60,1.5%,BROOKLYN,2951 West 8th Street,11224
61,1.3%,BROOKLYN,2575 Coney Island Avenue,11223
62,1.2%,BROOKLYN,1925 Bath Avenue,11223
63,0.8%,BROOKLYN,1844 Brooklyn Avenue,11235
66,1.3%,BROOKLYN,5822 16th Avenue,11220
67,2.0%,BROOKLYN,2820 Snyder Avenue,11203
68,0.7%,BROOKLYN,333 65th Street,11209
69,1.3%,BROOKLYN,9720 Foster Avenue,11236
70,1.3%,BROOKLYN,154 Lawrence Avenue,11230
71,1.7%,BROOKLYN,421 Empire Boulevard,11203
72,1.3%,BROOKLYN,830 4th Avenue,11232
73,1.9%,BROOKLYN,1470 East New York Avenue,11212
75,3.5%,BROOKLYN,1000 Sutter Avenue,11416
76,0.3%,BROOKLYN,191 Union Street,11231
77,1.7%,BROOKLYN,127 Utica Avenue,11238
78,1.1%,BROOKLYN,65 6th Avenue,11217
79,1.1%,BROOKLYN,263 Tompkins Avenue,11216
81,1.6%,BROOKLYN,30 Ralph Avenue,11221
83,1.5%,BROOKLYN,480 Knickerbocker Avenue,11206
84,0.9%,BROOKLYN,301 Gold Street,11201
88,0.4%,BROOKLYN,298 Classon Avenue,11205
90,1.1%,BROOKLYN,211 Union Avenue,11206
94,1.6%,BROOKLYN,100 Meserole Avenue,11222
100,0.6%,QUEENS,92-24 Rockaway Beach Boulevard,11694
101,0.3%,QUEENS,16-12 Mott Avenue,11691
102,2.2%,QUEENS,87-34 118th Street,11421
103,1.9%,QUEENS,168-02 P.O Edward Byrne Ave.,11432
104,1.2%,QUEENS,64-2 Catalpa Avenue,11385
105,1.6%,QUEENS,92-08 222nd Street,11413
106,1.9%,QUEENS,103-53 101st Street,11691
107,0.7%,QUEENS,71-01 Parsons Boulevard,11432
108,0.6%,QUEENS,5-47 50th Avenue,11373
109,1.2%,QUEENS,37-05 Union Street,11354
110,1.0%,QUEENS,94-41 43rd Avenue,11368
111,0.6%,QUEENS,45-06 215th Street,11358
112,1.1%,QUEENS,68-40 Austin Street,11375
113,1.0%,QUEENS,167-02 Baisley Boulevard,11436
114,2.0%,QUEENS,34-16 Astoria Boulevard,11106
115,2.0%,QUEENS,92-15 Northern Boulevard,11369
120,1.8%,STATEN ISLAND,78 Richmond Terrace,10304
121,0.9%,STATEN ISLAND,970 Richmond Avenue,10303
122,1.4%,STATEN ISLAND,2320 Hylan Boulevard,10305
123,0.4%,STATEN ISLAND,116 Main Street,10312
