house_name,LNG,LAT,price,streetAddress,postcode,house_type,ZCTA,nearest_3theaters_index,most_common_cuisine,num_rests_within_500m,nearest_5rests_index,distance_from_subway,nearest_subway
Beautiful 3 Bedroom Brooklyn Apt **New Kitchen ** Must See,-73.907347,40.692549,"$2,200",Eldert,11237,Apartment,11237,"[74, 6, 62]",chinese,79,"[1453, 427, 511, 612, 442]",317.80303608654236,Seneca Av
2 Bedroom Apt in Central Location** New Full Kitchen**Great Deal,-73.911805,40.692785,"$2,000",Wilson,11237,Apartment,11221,"[74, 6, 62]",mexican,76,"[282, 513, 34, 192, 274]",214.67198769241068,Myrtle-Wyckoff Avs
NO FEE 1 BR W/D IN UNIT KENSINGTON APT,-73.971044,40.633721,"$1,895",,11230,Apartment,11218,"[24, 60, 58]",new_american,1,"[1334, 8, 7, 907, 357]",615.053469062621,Bay Pkwy
cNice 2 Bedroom Apt** Great Deal** Perfect Location,-73.860805,40.684741,"$2,150",Atlantic,11416,Apartment,11416,"[6, 74, 62]",,0,"[1134, 771, 724, 271, 140]",253.7181599592912,85 St-Forest Pkwy
NO FEE 1BR APARTMENT NEAR THE Q TRAIN,-73.961334,40.622676,"$1,700",,11230,Apartment,11230,"[24, 60, 58]",pizza,2,"[357, 1279, 1334, 1274, 817]",93.57605759552928,Avenue J
A NO FEE 2br spacious Ridgewood Beauty!!,-73.914807,40.705195,"$2,000",Himrod st,11237,Apartment,11237,"[74, 6, 62]",mexican,68,"[368, 1290, 298, 25, 274]",322.61451039367677,Myrtle-Wyckoff Avs
NO FEE 1BR APARTMENT NEAR THE Q TRAIN,-73.960347,40.622891,"$1,775",,11230,Apartment,11230,"[24, 60, 58]",pizza,2,"[357, 1279, 1274, 817, 444]",83.22299530449118,Avenue J
1 Bedroom Apartment with A VIEW!!!,-73.977845,40.712745,"$2,658",453 FDR Drive,10158,Apartment,10002,"[24, 60, 75]",austrian,1,"[397, 968, 402, 26, 300]",699.3945256903546,1 Av
NO FEE 1BR APARTMENT NEAR THE Q TRAIN,-73.956292,40.618246,"$1,650",,11230,Apartment,11230,"[24, 60, 112]",,0,"[817, 357, 1279, 1274, 920]",335.11655874666525,Kings Hwy
Stunning 1BR/1BA *+ Home Office* In Prime Bushwick!,-73.924619,40.69205,"$1,999",10 Goodwin Pl,11221,Apartment,11221,"[74, 6, 112]",mexican,42,"[977, 1366, 424, 1200, 557]",271.618550216396,Gates Av
BEAUTIFUL 2BR/1BA In Brand NEW Construction In PLG!!,-73.952973,40.658535,"$2,100",289 fenimore St,11225,Apartment,11225,"[112, 74, 1]",,0,"[1293, 1274, 1330, 542, 609]",269.1674863479499,Sterling St
Great 2 Bedroom apt ** Brand New Kitchen**Must See,-73.957,40.6467,"$1,600",Beverley Rd,11226,Apartment,11226,"[112, 24, 60]",pizza,2,"[1274, 444, 1074, 357, 542]",565.2554824960946,Parkside Av
CONDO+2BDRM1BATHPRIMELOCATIONNEWTOPFLRBALCONYDECKWOW!!!NICEMOVEINNOW!!,-74.0133,40.6412,"$1,850",53rd st,11220,Apartment,11220,"[61, 87, 73]",mexican,1,"[1395, 1104, 1336, 580, 726]",143.8744112546773,53 St
CLINTON HILL~NO FEE!~NEWLY RENOVATED~MODERN & SLEEK~LAUNDRY~A/C/S TRAI,-73.954332,40.67989,$2650.00,9 Bedford Place,11216,Apartment,11216,"[112, 74, 1]",mexican,8,"[485, 1330, 542, 54, 57]",167.64645949757625,Franklin Av
"Sweet 1 Bed on 5th/Union, Steps to Trains, Will Not Last!",-73.980389,40.676277,"$2,200",189 5th Avenue,11217,Apartment,11215,"[58, 60, 24]",italian,48,"[867, 917, 548, 688, 32]",286.7801395951162,Atlantic Av-Barclays Ctr
"Stunning 1Bed Oasis, In Unit Laundry, Private Yard, Must See!",-73.928058,40.691806,"$2,250",514 Van Buren Street,11221,Apartment,11221,"[74, 6, 112]",mexican,37,"[1475, 1284, 524, 717, 977]",96.44840894095175,Kosciuszko St
"NO FEE Gorgeous 2 Bed Bushwick Abode, Steps to Train!",-73.918329,40.688528,"$2,150",1111 Putnam Avenue,11221,Apartment,11221,"[74, 6, 112]",chinese,31,"[671, 1138, 578, 873, 131]",207.73763661347553,Halsey St
Bright studio on 44th St near 7 subway! *NO FEE*,-73.920591,40.743201,"$1,575",44th Street,11104,Apartment,11104,"[6, 74, 62]",colombian,9,"[1397, 1396, 39, 1285, 337]",239.74568108842382,46 St-Bliss St
"Special Move-in Offer! Ideal Block,  Spacious living room",-73.928259,40.695111,"$2,400",Dekalb,11221,Apartment,11221,"[74, 6, 112]",mexican,40,"[1475, 717, 747, 23, 212]",82.30330228131884,Kosciuszko St
