Lng,Lat,name,cuisine,street,phone
-74.00316629999999,40.7487521975452,10th Avenue Pizza & Cafe,pizza,10th Avenue,+1 212-366-9222
-74.0088512,40.70505159754521,11 Hanover Greek,greek,Hanover Street,+12127854000
-74.00873399999999,40.7093200975452,22 Thai Cuisine,thai,Nassau Street,+1 212-732-9250
-73.9544692,40.769574897545205,2nd Ave Deli,jewish,1st Avenue,+1 212-737-1700
-73.94931700000001,40.780893297545205,3 Decker Restaurant & Cafe,diner,2nd Avenue,+1 212-289-9936; +1 212-289-6571
-73.994264,40.760965897545205,44 & X,american,10th Avenue,212-977-1170
-73.97795959999999,40.787047697545205,5 Napkin Burger,burger,Broadway,+1 212 333 4488
-73.973922,40.647540797545204,620 On Caton Pizzeria,pizza,Caton Avenue,718-436-3502
-73.9737769,40.6475199975452,624 Kam Hai,chinese,Caton Avenue,718-436-9748
-73.9715083,40.6977415975452,66S Fusion,sushi;ramen,Flushing Avenue,+1-718-222-0050
-73.9938932,40.702941497545204,7 Old Fulton,international,Old Fulton,(718) 797-0007
-73.98149790000001,40.667242597545204,7th Avenue Donuts & Diner,diner;donut,7th Avenue,+1-718-768-0748
-73.9687902,40.799320097545205,Aangan,indian,Broadway,+1 212 280 4100
-73.9124469,40.766773697545204,Aaron Sushi,sushi;Japanese,Steinway Street,+1-718-728-8816
-73.9977207,40.678937497545206,Abilene,american;mexican;brunch,Court Street,+1-718-522-6900
-73.9627025,40.7120324975452,Abracadabra,turkish,Bedford Avenue,+1 (347) 844-9157
-73.89403490000001,40.7006939975452,Ace Pizzeria and Restaurant,pizza,Myrtle Avenue,+1-718-418-0038
-73.97111120000001,40.7933325975452,Acqua,italian; pizza,Amsterdam Avenue,+1 212 222 2752
-74.0016978,40.7082305975452,ACQUA,italian,Peck Slip,+12123494433
-73.90205970000001,40.70034179754521,Acres BBQ,barbeque;sandwich;regional;brunch,Myrtle Avenue,+1-718-497-8462
-73.7440496,40.7655544975452,Aegea West Gyros & Pizza,Greek;Italian;pizza,Northern Boulevard,+1-718-423-4429
-73.8624358,40.8846426975452,Agra Grill,indian,White Plains Road,+1-347-346-5228
-73.92143229999999,40.6980672975452,Agra Heights,indian,Wilson Avenue,+1-718-443-5700
-73.9280327,40.704132197545206,Ajihei,japanese,Knickerbocker Avenue,+1-718-552-2065
-73.99217220000001,40.74661789754521,Ajisen Ramen,japanese,West 28th Street,+1-646-638-0888
-73.91613290000001,40.7025314975452,Akaru Sushi,sushi;tea,Wyckoff Avenue,+1-718-928-7688
-73.98143859999999,40.730697897545205,Akina Sushi,sushi,East 14th Street,(212) 388-1127
-73.9522998,40.769169397545205,Aki Sushi,japanese,York Avenue,+1-212-628-8885
-73.9576457,40.7700896975452,A La Turka Restaurant,turkish,2nd Avenue,+1 (212) 744-2424
-73.81885809999999,40.709277897545206,Alba Ristorante & Pizzaria,italian,Queens Boulevard,+1-718-291-1620
