 X,Y,amenity,name,cuisine,addr:street,addr:housenumber,addr:postcode,phone,website,addr:city,opening_hours,addr:state,takeaway,delivery,outdoor_seating,wheelchair,drink:beer,drink:wine,addr:country,smoking,cocktails,diet:vegetarian,drink:liquor,toilets,reservation,drink:coffee,payment:cash,name:en,email,payment:credit_cards,bar,diet:vegan,fax,happy_hours,internet_access,toilets:unisex,description,toilets:wheelchair,drink:tea,payment:debit_cards,capacity
-75.9351755,43.9766090975452,restaurant,1025 Ruyi Japanese Steak House Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.135082,43.0467211975452,restaurant,1060 Restaurant,,East Genesee Street,1060,13210,315 476 9000,http://www.1060restaurant.com/,Syracuse,,NY,,,,,,,US,,,,,,,,,,,,,,,,,,,,,,
-74.002825,40.7070691975452,restaurant,10 Corso Como Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0031663,40.7487521975452,restaurant,10th Avenue Pizza & Cafe,pizza,10th Avenue,256,10001,+1 212-366-9222,https://www.10thavenuepizza.com,,"Mo-Fr 06:00-22:00; Sa 07:00-21:00; Su 09:00-20:00",,,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,
-73.4992756,43.0903086975452,restaurant,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0088512,40.7050515975452,restaurant,11 Hanover Greek,greek,Hanover Street,11,10005,+12127854000,http://www.11hanovergreek.com,,"Mo-Fr 11:30-23:00; Sa 16:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9914632,40.7648448975452,restaurant,123 Burger,burger,10th Avenue,738,10019,,,New York,open until 4am,ny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0024076,40.7275501975452,restaurant,12 Chairs,mediterranean,MacDougal Street,56,,,,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.9651921,40.7145259975452,restaurant,12 Chairs Cafe,,,,,,,,,,,,,,,,,,,,,,,,,12 Chairs Cafe,,,,,,,,,,,,,
-73.9545188,40.8214003975452,restaurant,137 Bar & Grill,,,,,,http://137bargrill.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.4985797,42.4394268975452,restaurant,15 Below,thai_ice_cream,Ithaca Commons,,14850,,,Ithaca,,NY,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
